scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-112.753958, 37.499283)"
Pinus longaeva D.K.Bailey,"c(-118.30695, 37.677263)"
Pinus longaeva D.K.Bailey,"c(-117.085167, 36.177114)"
Pinus longaeva D.K.Bailey,"c(-112.856712, 37.613613)"
Pinus longaeva D.K.Bailey,"c(-112.804863, 37.606328)"
Pinus longaeva D.K.Bailey,"c(-112.850836, 37.564821)"
Pinus longaeva D.K.Bailey,"c(-114.733137, 38.719401)"
Pinus longaeva D.K.Bailey,"c(-112.886488, 37.684842)"
Pinus longaeva D.K.Bailey,"c(-118.17788, 37.385487)"
Pinus longaeva D.K.Bailey,"c(-118.171387, 37.385075)"
Pinus longaeva D.K.Bailey,"c(-112.844552, 37.610085)"
Pinus longaeva D.K.Bailey,"c(-115.646979, 36.243512)"
Pinus longaeva D.K.Bailey,"c(-112.353247, 37.591142)"
Pinus longaeva D.K.Bailey,"c(-118.175034, 37.383547)"
Pinus longaeva D.K.Bailey,"c(-118.174028, 37.38296)"
Pinus longaeva D.K.Bailey,"c(-118.175553, 37.38316)"
Pinus longaeva D.K.Bailey,"c(-115.621894, 36.308769)"
Pinus longaeva D.K.Bailey,"c(-115.638503, 36.324365)"
Pinus longaeva D.K.Bailey,"c(-115.634355, 36.326831)"
Pinus longaeva D.K.Bailey,"c(-114.282369, 38.916239)"
Pinus longaeva D.K.Bailey,"c(-115.412654, 40.639105)"
Pinus longaeva D.K.Bailey,"c(-118.177916, 37.385496)"
Pinus longaeva D.K.Bailey,"c(-113.326272, 39.374687)"
Pinus longaeva D.K.Bailey,"c(-113.326272, 39.374675)"
Pinus longaeva D.K.Bailey,"c(-113.324875, 39.375472)"
Pinus longaeva D.K.Bailey,"c(-118.17823, 37.386105)"
Pinus longaeva D.K.Bailey,"c(-113.332595, 39.385872)"
Pinus longaeva D.K.Bailey,"c(-113.332695, 39.386033)"
Pinus longaeva D.K.Bailey,"c(-113.332595, 39.38612)"
Pinus longaeva D.K.Bailey,"c(-113.336525, 39.382072)"
Pinus longaeva D.K.Bailey,"c(-118.178363, 37.385455)"
Pinus longaeva D.K.Bailey,"c(-118.174823, 37.382675)"
